State,Trump,Clinton,Others,Total,Eligible,2way,Turnout
AL,"1,318,255","729,547","75,570","2,123,372",3609447.047,0.6437414359,0.5882817984
AK,"163,387","116,454","38,767","318,608",522679.4807,0.5838565471,0.6095666881
AZ,"1,252,401","1,161,167","159,597","2,573,165",4740309.715,0.518900234,0.5428263457
AR,"684,872","380,494","65,310","1,130,676",2140097.315,0.6428513769,0.5283292456
CA,"4,483,814","8,753,792","943,998","14,181,604",25104843.6,0.338717892,0.5648951343
CO,"1,202,484","1,338,870","238,893","2,780,247",3974405.43,0.4731666663,0.6995378426
CT,"673,215","897,572","74,133","1,644,920",2582760.699,0.4285845248,0.6368844008
DE,"185,127","235,603","23,084","443,814",691720.362,0.4400137856,0.6416089859
FL,"4,617,886","4,504,975","297,178","9,420,039",14601066.18,0.5061883547,0.6451610371
GA,"2,089,104","1,877,963","147,665","4,114,732",6959962.724,0.526611726,0.5912002928
HI,"128,847","266,891","33,199","428,937",1012859.806,0.3255866255,0.4234909879
ID,"409,055","189,765","91,435","690,255",1166705.929,0.6831017668,0.5916272327
IL,"2,146,015","3,090,729","299,680","5,536,424",8985442.595,0.4097994861,0.6161548462
IN,"1,557,286","1,033,126","144,546","2,734,958",4849936.894,0.6011730952,0.5639162034
IA,"800,983","653,669","111,379","1,566,031",2288536.454,0.5506354785,0.6842936659
KS,"671,018","427,005","86,379","1,184,402",2054025.452,0.6111147034,0.5766247924
KY,"1,202,971","628,854","92,324","1,924,149",3282420.226,0.6567062902,0.5861982523
LA,"1,178,638","780,154","70,240","2,029,032",3384434.694,0.6017167724,0.5995187331
ME,"335,593","357,735","54,599","747,927",1058372.474,0.4840320887,0.7066765418
MD,"943,169","1,677,928","160,349","2,781,446",4189616.332,0.3598375032,0.6638903851
MA,"1,090,893","1,995,196","238,957","3,325,046",4948028.038,0.3534872131,0.6719941712
MI,"2,279,543","2,268,839","250,902","4,799,284",7420628.346,0.5011766822,0.6467490051
MN,"1,322,951","1,367,716","254,146","2,944,813",3973203.633,0.4916814307,0.7411684051
MS,"700,714","485,131","23,512","1,209,357",2191240.774,0.5908984732,0.5519051189
MO,"1,594,511","1,071,068","143,026","2,808,605",4517924.743,0.59818561,0.6216582081
MT,"279,240","177,709","40,198","497,147",804250.4627,0.6110966432,0.6181494734
NE,"495,961","284,494","63,772","844,227",1343820.517,0.6354767411,0.6282289854
NV,"512,058","539,260","74,067","1,125,385",1961586.595,0.4870629058,0.5737116081
NH,"345,790","348,526","49,980","744,296",1042795.401,0.4980297156,0.7137507504
NJ,"1,601,933","2,148,278","123,835","3,874,046",6013655.778,0.4271580986,0.6442081395
NM,"319,667","385,234","93,418","798,319",1464514.782,0.4534920507,0.5451081887
NY,"2,819,533","4,556,118","345,791","7,721,442",13604645.25,0.3822758154,0.5675592314
NC,"2,362,631","2,189,316","189,617","4,741,564",7352500.75,0.519037458,0.6448913317
ND,"216,794","93,758","33,808","344,360",566783.0967,0.698092429,0.6075692835
OH,"2,841,005","2,394,164","261,318","5,496,487",8736807.847,0.5426768458,0.6291184488
OK,"949,136","420,375","83,481","1,452,992",2778218.729,0.6930473724,0.5229940986
OR,"782,403","1,002,106","216,827","2,001,336",3024174.129,0.4384416105,0.6617793535
PA,"2,970,733","2,926,441","268,304","6,165,478",9691159.729,0.5037553581,0.6361960975
RI,"180,543","252,525","31,076","464,144",786012.0742,0.4168929591,0.5905049239
SC,"1,155,389","855,373","92,265","2,103,027",3709283.247,0.5746025636,0.5669631731
SD,"227,721","117,458","24,914","370,093",631173.1821,0.6597185808,0.5863572954
TN,"1,522,925","870,695","114,407","2,508,027",4909425.947,0.6362434305,0.5108595235
TX,"4,685,047","3,877,868","406,311","8,969,226",17448909.75,0.5471322558,0.514027875
UT,"515,231","310,676","305,523","1,131,430",1991885.17,0.6238365821,0.5680196915
VT,"95,369","178,573","41,125","315,067",494870.9522,0.3481357368,0.6366649701
VA,"1,769,443","1,981,473","233,715","3,984,631",6027152.417,0.4717362372,0.6611133624
WA,"1,221,747","1,742,718","352,554","3,317,019",5123019.659,0.412130688,0.6474734084
WV,"489,371","188,794","36,258","714,423",1423030.933,0.7216105225,0.5020431975
WI,"1,405,284","1,382,536","188,330","2,976,150",4285071.016,0.5040798904,0.6945392478
WY,"174,419","55,973","25,457","255,849",429681.567,0.7570531963,0.5954386217
Total:,"62,984,828","65,853,514","7,830,934","136,669,276",,,
,46.09%,48.18%,5.73%,,,,